#delimieter: ,
#columns:type,person1,person2,forum,forum_event,publication,topic,date,lat,lon
#types:STRING,UINT,UINT,UINT,UINT,UINT,UINT,USDATE,DOUBLE,DOUBLE
Publication,,,,,548702425993392039,,10/1/2013,,
Publication,,,,,134856762764125635,,1/1/2018,,
Publication,,,,,456939612425628755,,5/24/2018,,
Publication,,,,,1529616529849301121,,7/31/2018,,
Publication,,,,,554506531444645925,,12/15/2013,,
Publication,,,,,954333994946359302,,11/6/2013,,
Publication,,,,,151719636113613051,,1/1/2014,,
Publication,,,,,708129372633353124,,2/1/2014,,
Publication,,,,,920702395401384153,,10/1/2014,,
Publication,,,,,91748537183657893,,12/1/2014,,
Publication,,,,,1589648044119585374,,10/2/2014,,
Publication,,,,,511831401401706741,,1/1/2013,,
Publication,,,,,455139294456324360,,3/1/2013,,
Publication,,,,,248089745628242201,,1/15/2015,,
Publication,,,,,633788354005203459,,1/1/2014,,
Publication,,,,,692657211135304100,,1/1/2015,,
Publication,,,,,1262680045724451909,,8/8/2018,,
Publication,,,,,834189857714386130,,2/6/2018,,
Publication,,,,,1134642480468330173,,9/1/2013,,
Publication,,,,,530472533737117954,,1/1/2018,,
Publication,,,,,1483042641336690780,,1/1/2014,,
Publication,,,,,1156435129339855633,,8/25/2015,,
Publication,,,,,433728721519925591,,1/4/2017,,
Publication,,,,,408256432505523464,,11/1/2013,,
Publication,,,,,391134252084561345,,1/1/2017,,
Publication,,,,,1215110265264164470,,10/15/2014,,
Publication,,,,,1120075482544780713,,12/1/2016,,
Publication,,,,,514356192703015242,,3/1/2017,,
Publication,,,,,942022885373750044,,11/1/2017,,
Publication,,,,,341814835973659176,,8/1/2017,,
Publication,,,,,1519111707464370825,,7/1/2016,,
Publication,,,,,157432519343669725,,9/1/2015,,
Publication,,,,,1050517504596155455,,4/1/2017,,
Publication,,,,,236430389245031529,,3/6/2015,,
Publication,,,,,1316081154532324092,,3/1/2013,,
Publication,,,,,1499545278582446145,,1/1/2014,,
Publication,,,,,243639114384933459,,12/1/2013,,
Publication,,,,,1304428725664516237,,10/9/2013,,
Publication,,,,,701421722920288207,,6/7/2016,,
Publication,,,,,1173037453552436481,,6/1/2017,,
Publication,,,,,1585193111417649167,,2/1/2016,,
Publication,,,,,334149588379779141,,1/1/2014,,
Publication,,,,,1129820875764571922,,1/1/2018,,
Publication,,,,,265508542147142022,,11/2/2014,,
Publication,,,,,778923756305624115,,3/10/2014,,
Publication,,,,,911290845024250105,,2/1/2016,,
Publication,,,,,639593259501530220,,6/1/2016,,
Publication,,,,,1111420083545148170,,12/22/2017,,
Publication,,,,,518352543481412228,,5/1/2013,,
Publication,,,,,172744821559944809,,5/23/2016,,
Publication,,,,,85706350860365326,,11/1/2016,,
Publication,,,,,1309252115801772423,,1/1/2019,,
Publication,,,,,816463552645282332,,1/1/2019,,
Publication,,,,,953865517933056239,,8/1/2016,,
Publication,,,,,1296326750570192610,,1/1/2014,,
Publication,,,,,841214612643262444,,1/1/2017,,
Publication,,,,,445341351326743491,,8/1/2016,,
Publication,,,,,364326945756139501,,5/6/2016,,
Publication,,,,,1370935333400250229,,1/1/2019,,
Publication,,,,,265859256351129100,,6/30/2014,,
Publication,,,,,1160489305236357580,,3/15/2015,,
Publication,,,,,1525860854244089309,,1/1/2014,,
Publication,,,,,805941264185555920,,7/1/2016,,
Publication,,,,,1205464105008651125,,1/1/2019,,
Publication,,,,,1110681091078144174,,4/9/2014,,
Publication,,,,,1367655248427253165,,4/21/2018,,
Publication,,,,,1568451351280245710,,1/1/2018,,
Publication,,,,,25634160884904534,,1/1/2018,,
Publication,,,,,528319227647225453,,6/1/2012,,
Publication,,,,,1406420753055981375,,1/1/2009,,
Publication,,,,,396229449434505810,,1/1/2009,,
Publication,,,,,853090802163956280,,1/1/2012,,
Publication,,,,,1321453133231175114,,5/1/2016,,
Publication,,,,,411156565811335955,,5/3/2016,,
Publication,,,,,1065493201224542466,,1/1/2018,,
Publication,,,,,390157562056322175,,2/1/2013,,
Publication,,,,,1403531120230982133,,7/30/2015,,
Publication,,,,,122632636019124892,,1/1/2015,,
Publication,,,,,1564552423544312042,,2/1/2011,,
Publication,,,,,363647912045589132,,3/1/2011,,
Publication,,,,,765426113091310440,,1/1/2018,,
Publication,,,,,1585317770407570207,,6/24/2018,,
Publication,,,,,687143789358305145,,2/1/2015,,
Publication,,,,,533505421142334622,,10/4/2016,,
Publication,,,,,1433303251800176474,,1/1/2014,,
Publication,,,,,1564094933455521324,,11/5/2014,,
Publication,,,,,1204640481327233312,,1/1/2018,,
Publication,,,,,1072714447406357442,,3/1/2011,,
Publication,,,,,738292514582873717,,1/1/2014,,
Publication,,,,,1659273112350700251,,3/9/2016,,
Publication,,,,,835306144015743338,,6/1/2016,,
Publication,,,,,841562502336147245,,2/1/2014,,
Publication,,,,,1476929509929416613,,6/1/2018,,
Publication,,,,,392191915084748326,,4/27/2013,,
Publication,,,,,182193447188803110,,11/25/2014,,
Publication,,,,,145768375193060306,,6/1/2012,,
Publication,,,,,611669293554433133,,6/8/2009,,
Publication,,,,,1033154194594058122,,12/1/2017,,
Publication,,,,,392553110485625655,,1/6/2017,,
Publication,,,,,1237440141865270509,,6/1/2019,,
Publication,,,,,255021818093575130,,12/1/2012,,
Publication,,,,,437110044202511365,,1/1/2016,,
Publication,,,,,535357468552431145,,1/1/2017,,
Publication,,,,,589475314614046623,,7/1/2012,,
Publication,,,,,1453655633560159300,,11/1/2016,,
Publication,,,,,911478176524494112,,3/1/2008,,
Publication,,,,,865726842614445959,,3/1/2012,,
Publication,,,,,759644724377824693,,1/7/2015,,
Publication,,,,,793136402863489582,,12/22/2015,,
Publication,,,,,1066073644211525635,,1/1/2011,,
Publication,,,,,992274543432593761,,10/27/2015,,
Publication,,,,,110145610530314505,,8/9/2012,,
Publication,,,,,1064705557327885345,,1/1/2016,,
Publication,,,,,751814944421404327,,9/1/2018,,
Publication,,,,,1388682510555742490,,1/1/2012,,
Publication,,,,,1150233311436434234,,1/1/2014,,
Publication,,,,,210721032644153372,,7/1/2016,,
Publication,,,,,1021225237431544228,,1/1/2016,,
Publication,,,,,775082203040099247,,5/1/2009,,
Publication,,,,,1368539377523707325,,1/1/2015,,
Publication,,,,,1618623345335433515,,5/1/2015,,
Publication,,,,,961010887130133818,,1/1/2013,,
Publication,,,,,868022377080251501,,4/6/2017,,
Publication,,,,,1062721284255540453,,1/1/2015,,
Publication,,,,,128051164109039194,,2/18/2016,,
Publication,,,,,1367470946435037628,,12/4/2015,,
Publication,,,,,412299958539355972,,1/1/2015,,
Publication,,,,,538982073701131016,,7/22/2015,,
Publication,,,,,1302155791884426191,,10/1/2011,,
Publication,,,,,559744520734942239,,1/1/2011,,
Publication,,,,,802545334467371465,,1/1/2010,,
Publication,,,,,1061742757218585205,,2/1/2012,,
Publication,,,,,1585050565070131442,,4/1/2009,,
Publication,,,,,324168013097114243,,3/1/2017,,
Publication,,,,,617315384451285845,,1/1/2011,,
Publication,,,,,818558234557080785,,1/1/2013,,
Publication,,,,,1432846602287098331,,11/3/2011,,
Publication,,,,,1083172242534709471,,1/1/2012,,
Publication,,,,,1415127344400921124,,3/1/2016,,
Publication,,,,,393561129269447850,,5/18/2018,,
Publication,,,,,433123412666855425,,9/21/2017,,
Publication,,,,,114100208765692464,,2/1/2015,,
Publication,,,,,1223201466111155762,,9/20/2009,,
Publication,,,,,654605329530553462,,9/1/2018,,
Publication,,,,,1570237125232433391,,1/1/2016,,
Publication,,,,,1108161731534242241,,3/1/2015,,
Publication,,,,,481642124220741922,,9/1/2011,,
Publication,,,,,473210514349440146,,6/15/2019,,
Publication,,,,,226534406911504911,,4/1/2018,,
Publication,,,,,1036124455152835125,,11/17/2008,,
Publication,,,,,1237904076310964345,,10/8/2012,,
Publication,,,,,464039239752344525,,1/1/2013,,
Publication,,,,,1386118427745531516,,2/1/2012,,
Publication,,,,,614563225256235305,,1/1/2013,,
Publication,,,,,447725457586251915,,3/1/2012,,
Publication,,,,,533479570450999532,,1/1/2014,,
Publication,,,,,1184552083439914010,,1/1/2016,,
Publication,,,,,444370185659451712,,7/1/2019,,
Publication,,,,,825036155997715531,,12/1/2012,,
Publication,,,,,1313136360264264040,,12/1/2009,,
Publication,,,,,1484990992164595631,,6/15/2010,,
Publication,,,,,452014309250980144,,9/1/2019,,
Publication,,,,,263446346136943576,,5/24/2011,,
Publication,,,,,1503013553211939079,,4/28/2016,,
Publication,,,,,1650654514152135548,,6/1/2018,,
Publication,,,,,945448394389256102,,1/1/2010,,
Publication,,,,,656627411412445254,,1/1/2012,,
Publication,,,,,960755156034311366,,5/1/2018,,
Publication,,,,,1351261034337724430,,9/1/2011,,
Publication,,,,,1440362450138312824,,1/15/2017,,
Publication,,,,,1593463138556452069,,3/26/2013,,
Publication,,,,,1615845675041656867,,1/1/2013,,
Publication,,,,,1279925396415562293,,6/10/2013,,
Publication,,,,,662040196582994977,,5/4/2017,,
Publication,,,,,961295173376553110,,12/1/2018,,
Publication,,,,,1406013120965590143,,1/29/2019,,
Publication,,,,,1533473555209486342,,12/1/2019,,
Publication,,,,,1116049124547451768,,8/1/2019,,
Publication,,,,,1482115131296529712,,10/2/2014,,
Publication,,,,,1205511062642288544,,12/1/2017,,
Publication,,,,,1119312195471837379,,9/1/2019,,
Publication,,,,,1034753046490930613,,1/1/2012,,
Publication,,,,,1630351345915884062,,11/1/2018,,
Publication,,,,,55633564026515212,,9/25/2014,,
Publication,,,,,1524145067753924431,,6/1/2011,,
Publication,,,,,700445046832563344,,9/1/2016,,
Publication,,,,,1551055412945160584,,3/5/2015,,
Publication,,,,,513814378638938104,,9/15/2019,,
Publication,,,,,218383913605183255,,11/1/2016,,
Publication,,,,,621342290531088160,,12/1/2018,,
Publication,,,,,931240850644642912,,9/1/2008,,
Publication,,,,,112426432345339011,,1/1/2008,,
Publication,,,,,1320450812750417399,,1/1/2014,,
Publication,,,,,1236071519403510404,,6/5/2013,,
Publication,,,,,658460830728185707,,12/1/2019,,
Publication,,,,,1540332553298439490,,4/1/2016,,
Publication,,,,,85553119771132592,,2/1/2017,,
Publication,,,,,1560066052793400803,,4/12/2012,,
Publication,,,,,603077338605519374,,1/1/2014,,
Publication,,,,,1587830810357023820,,9/1/2016,,
Publication,,,,,1333194528449319314,,7/1/2018,,
Publication,,,,,1104559357645345248,,12/1/2014,,
Publication,,,,,1262425145886331589,,8/7/2017,,
Publication,,,,,426261457534735027,,1/12/2016,,
Publication,,,,,422500904651204369,,6/16/2019,,
Publication,,,,,544753122501818452,,8/1/2018,,
Publication,,,,,381945905944222303,,5/1/2016,,
Publication,,,,,1481196105228122932,,8/1/2017,,
Publication,,,,,947434433156345636,,12/1/2018,,
Publication,,,,,114236761914250100,,2/15/2015,,
Publication,,,,,1635330766584926475,,1/1/2013,,
Publication,,,,,1402839471013558214,,4/1/2015,,
Publication,,,,,1621028506518051645,,1/1/2015,,
Publication,,,,,1432624384131958791,,4/1/2016,,
Publication,,,,,239904569862453010,,7/5/2017,,
Publication,,,,,405137730776545638,,1/1/2010,,
Publication,,,,,114483882745002421,,1/1/2017,,
Publication,,,,,293120621431252850,,6/1/2017,,
Publication,,,,,850720661426751612,,1/1/2017,,
Publication,,,,,601440331145434098,,1/1/2015,,
Publication,,,,,538340420404264725,,1/1/2019,,
Publication,,,,,450155563451232319,,7/1/2017,,
Publication,,,,,1447319046232137455,,5/1/2015,,
Publication,,,,,462104431376974634,,3/1/2018,,
Publication,,,,,1613445489403404522,,1/1/2018,,
Publication,,,,,1196367221881666010,,3/7/2016,,
Publication,,,,,835432424342356945,,1/6/2012,,
Publication,,,,,1382214212586994417,,12/1/2014,,
Publication,,,,,1210752114217320208,,7/1/2017,,
Publication,,,,,362531551802217552,,1/1/2016,,
Publication,,,,,1590643333650384607,,2/1/2013,,
Publication,,,,,31352512947115464,,4/19/2017,,
Publication,,,,,1591441211121112480,,5/1/2012,,
Publication,,,,,765129415015501654,,1/1/2017,,
Publication,,,,,188045239667547265,,1/30/2017,,
ForumEvent,,,1372844135435303981,1651365355351122204,,,1/7/2019,,
ForumEvent,,,1615340315424362057,280589321459370154,,,1/1/2018,,
ForumEvent,,,1615340315424362057,1299490164397973755,,,1/1/2018,,
ForumEvent,,,1615340315424362057,955592801658430496,,,1/1/2018,,
ForumEvent,,,1615340315424362057,155931719245517063,,,1/2/2018,,
ForumEvent,,,1615340315424362057,1531660299191326106,,,1/2/2018,,
ForumEvent,,,1615340315424362057,814136611460038320,,,1/3/2018,,
ForumEvent,,,1615340315424362057,170990362250131572,,,1/3/2018,,
ForumEvent,,,1615340315424362057,125351271886743525,,,1/3/2018,,
ForumEvent,,,1615340315424362057,821112427570632131,,,1/4/2018,,
ForumEvent,,,1615340315424362057,396231602656237319,,,1/4/2018,,
ForumEvent,,,1615340315424362057,673293879847814026,,,1/4/2018,,
ForumEvent,,,1615340315424362057,736308039026453642,,,1/5/2018,,
ForumEvent,,,1615340315424362057,185214176591342240,,,1/5/2018,,
ForumEvent,,,1615340315424362057,1303128545942542705,,,1/6/2018,,
ForumEvent,,,1615340315424362057,251421260413660641,,,1/6/2018,,
ForumEvent,,,1615340315424362057,708450832303282435,,,1/7/2018,,
ForumEvent,,,1615340315424362057,1126144959017662136,,,1/7/2018,,
ForumEvent,,,1615340315424362057,159340881542114850,,,1/8/2018,,
ForumEvent,,,1615340315424362057,1027514353195555341,,,1/8/2018,,
ForumEvent,,,1615340315424362057,175651594314152210,,,1/8/2018,,
ForumEvent,,,1615340315424362057,234544402863621581,,,1/9/2018,,
ForumEvent,,,1615340315424362057,1248722441155881710,,,1/9/2018,,
ForumEvent,,,1615340315424362057,707079221723431949,,,1/10/2018,,
ForumEvent,,,1615340315424362057,755749421035909020,,,1/10/2018,,
ForumEvent,,,1615340315424362057,635028113515491506,,,1/10/2018,,
ForumEvent,,,1615340315424362057,585900771296444400,,,1/11/2018,,
ForumEvent,,,1615340315424362057,1597447954377183310,,,1/11/2018,,
ForumEvent,,,1615340315424362057,933299857653532908,,,1/11/2018,,
ForumEvent,,,1615340315424362057,1152320186414491347,,,1/12/2018,,
ForumEvent,,,1615340315424362057,1561206628428143073,,,1/12/2018,,
ForumEvent,,,1615340315424362057,1544164587430216331,,,1/13/2018,,
ForumEvent,,,1615340315424362057,192723494403018219,,,1/13/2018,,
ForumEvent,,,1615340315424362057,193321513492008463,,,1/14/2018,,
ForumEvent,,,1615340315424362057,1080699385441423804,,,1/14/2018,,
ForumEvent,,,1615340315424362057,183172073920775044,,,1/15/2018,,
ForumEvent,,,1615340315424362057,267414343263299160,,,1/15/2018,,
ForumEvent,,,1615340315424362057,629558433012751132,,,1/15/2018,,
ForumEvent,,,1615340315424362057,1355852486954199128,,,1/16/2018,,
ForumEvent,,,1615340315424362057,1436111782322094131,,,1/16/2018,,
ForumEvent,,,1615340315424362057,1586137456755165326,,,1/17/2018,,
ForumEvent,,,1615340315424362057,1351144639319526025,,,1/17/2018,,
ForumEvent,,,1615340315424362057,581163074520452425,,,1/17/2018,,
ForumEvent,,,1615340315424362057,776272415636629649,,,1/18/2018,,
ForumEvent,,,1615340315424362057,812637313466126998,,,1/18/2018,,
ForumEvent,,,1615340315424362057,427312071528443170,,,1/18/2018,,
ForumEvent,,,1615340315424362057,219308242871623239,,,1/19/2018,,
ForumEvent,,,1615340315424362057,275691820652602625,,,1/19/2018,,
ForumEvent,,,1615340315424362057,1105191920552511684,,,1/19/2018,,
ForumEvent,,,1615340315424362057,1048661653957351646,,,1/20/2018,,
ForumEvent,,,1615340315424362057,1062753252028020849,,,1/20/2018,,
ForumEvent,,,1615340315424362057,795422289222291861,,,1/21/2018,,
ForumEvent,,,1615340315424362057,1143764561616219330,,,1/21/2018,,
ForumEvent,,,1615340315424362057,1477010959314860674,,,1/22/2018,,
ForumEvent,,,1615340315424362057,194042603452544854,,,1/22/2018,,
ForumEvent,,,1615340315424362057,1443357857065936467,,,1/22/2018,,
ForumEvent,,,1615340315424362057,1423435431740470464,,,1/23/2018,,
ForumEvent,,,1615340315424362057,1387164084345338336,,,1/23/2018,,
ForumEvent,,,1615340315424362057,1445957483805700127,,,1/23/2018,,
ForumEvent,,,1615340315424362057,238437161322388642,,,1/24/2018,,
ForumEvent,,,1615340315424362057,857521100729489634,,,1/24/2018,,
ForumEvent,,,1615340315424362057,612325292747168464,,,1/24/2018,,
ForumEvent,,,1615340315424362057,1161053289243264771,,,1/25/2018,,
ForumEvent,,,1615340315424362057,487805936535205207,,,1/25/2018,,
ForumEvent,,,1615340315424362057,1445563531640952310,,,1/26/2018,,
ForumEvent,,,1615340315424362057,153142399131383828,,,1/26/2018,,
ForumEvent,,,1615340315424362057,1514930846550527911,,,1/26/2018,,
ForumEvent,,,1615340315424362057,1135517497645781707,,,1/27/2018,,
ForumEvent,,,1615340315424362057,430617927490830500,,,1/27/2018,,
ForumEvent,,,1615340315424362057,1335120447722237322,,,1/28/2018,,
ForumEvent,,,1615340315424362057,83651483855054611,,,1/28/2018,,
ForumEvent,,,1615340315424362057,645060261840400054,,,1/29/2018,,
ForumEvent,,,1615340315424362057,564562537029015079,,,1/29/2018,,
ForumEvent,,,1615340315424362057,1143132294162565445,,,1/29/2018,,
ForumEvent,,,1615340315424362057,204601302306377836,,,1/30/2018,,
ForumEvent,,,1615340315424362057,1239530009198344134,,,1/30/2018,,
ForumEvent,,,1615340315424362057,981779238261140343,,,1/30/2018,,
ForumEvent,,,1615340315424362057,1043313164205426436,,,1/31/2018,,
ForumEvent,,,15133734353741126,1115230624309225384,,,1/1/2018,,
ForumEvent,,,15133734353741126,952329341257949347,,,1/3/2018,,
ForumEvent,,,15133734353741126,313092664532161315,,,1/4/2018,,
ForumEvent,,,1372844135435303981,1060309546214304182,,,1/3/2018,,
ForumEvent,,,15133734353741126,427763945504515353,,,1/6/2018,,
ForumEvent,,,15133734353741126,180195154455143573,,,1/9/2018,,
ForumEvent,,,15133734353741126,551400212322309461,,,1/11/2018,,
ForumEvent,,,15133734353741126,554155215215340458,,,1/13/2018,,
ForumEvent,,,15133734353741126,152316543541318321,,,1/15/2018,,
ForumEvent,,,15133734353741126,1410841739614794341,,,1/17/2018,,
ForumEvent,,,15133734353741126,862194323816224154,,,1/19/2018,,
ForumEvent,,,15133734353741126,1120630233737930212,,,1/22/2018,,
ForumEvent,,,15133734353741126,566141118143855103,,,1/24/2018,,
ForumEvent,,,15133734353741126,1318025615084268681,,,1/26/2018,,
ForumEvent,,,15133734353741126,739623985764621110,,,1/29/2018,,
ForumEvent,,,15133734353741126,1014415115520192947,,,1/31/2018,,
ForumEvent,,,1372844135435303981,1514092030144926540,,,1/1/2018,,
ForumEvent,,,1372844135435303981,1559112370672182737,,,1/2/2018,,
ForumEvent,,,1372844135435303981,1032300905572632874,,,1/3/2018,,
ForumEvent,,,1372844135435303981,261121959996235412,,,1/4/2018,,
ForumEvent,,,1372844135435303981,522543350223581493,,,1/4/2018,,
ForumEvent,,,1372844135435303981,1352950325190178044,,,1/6/2018,,
ForumEvent,,,1372844135435303981,1221128529286340606,,,1/7/2018,,
ForumEvent,,,1372844135435303981,932362105613871012,,,1/8/2018,,
ForumEvent,,,1372844135435303981,213285123302364546,,,1/8/2018,,
ForumEvent,,,1372844135435303981,211202142120125185,,,1/9/2018,,
ForumEvent,,,1372844135435303981,1209342585680609487,,,1/10/2018,,
ForumEvent,,,1372844135435303981,896211334220176026,,,1/10/2018,,
ForumEvent,,,1372844135435303981,257341032610503035,,,1/12/2018,,
ForumEvent,,,1372844135435303981,146513945301368250,,,1/13/2018,,
ForumEvent,,,1372844135435303981,1552142413427207364,,,1/14/2018,,
ForumEvent,,,1372844135435303981,401194688450067136,,,1/15/2018,,
ForumEvent,,,1372844135435303981,1042879438432524194,,,1/16/2018,,
ForumEvent,,,1372844135435303981,301059495064402383,,,1/17/2018,,
ForumEvent,,,1372844135435303981,1276715518498330245,,,1/19/2018,,
ForumEvent,,,1372844135435303981,893115644206437853,,,1/19/2018,,
ForumEvent,,,1372844135435303981,346081556314029100,,,1/20/2018,,
ForumEvent,,,1372844135435303981,1064096156319253831,,,1/21/2018,,
ForumEvent,,,1372844135435303981,1535107078030627474,,,1/22/2018,,
ForumEvent,,,1372844135435303981,1661111828309162763,,,1/23/2018,,
ForumEvent,,,1372844135435303981,655952104750610103,,,1/24/2018,,
ForumEvent,,,1372844135435303981,443070236230653002,,,1/25/2018,,
ForumEvent,,,1372844135435303981,130857213689761282,,,1/26/2018,,
ForumEvent,,,1372844135435303981,1286332554745335432,,,1/27/2018,,
ForumEvent,,,1372844135435303981,654888481391794555,,,1/29/2018,,
ForumEvent,,,1372844135435303981,725474321877611553,,,1/31/2018,,
ForumEvent,,,565733832133342431,1194332577942465340,,,1/6/2018,,
ForumEvent,,,565733832133342431,1239280674509924026,,,1/16/2018,,
ForumEvent,,,565733832133342431,1105145109342140404,,,1/25/2018,,
ForumEvent,,,1314315120197156050,92744474450126157,,,1/1/2018,,
ForumEvent,,,1314315120197156050,508088403211363158,,,1/3/2018,,
ForumEvent,,,1314315120197156050,156690928836423177,,,1/6/2018,,
ForumEvent,,,1314315120197156050,627442418823971175,,,1/8/2018,,
ForumEvent,,,1314315120197156050,534460021787561050,,,1/10/2018,,
ForumEvent,,,1314315120197156050,383061061043331755,,,1/11/2018,,
ForumEvent,,,1314315120197156050,324694508215361061,,,1/13/2018,,
ForumEvent,,,1314315120197156050,399627592604084136,,,1/16/2018,,
ForumEvent,,,1314315120197156050,102627445530577209,,,1/18/2018,,
ForumEvent,,,1314315120197156050,740540634594451764,,,1/19/2018,,
ForumEvent,,,1314315120197156050,1036457203323246123,,,1/21/2018,,
ForumEvent,,,1314315120197156050,834138554010246333,,,1/23/2018,,
ForumEvent,,,1314315120197156050,728031207388070724,,,1/24/2018,,
ForumEvent,,,1314315120197156050,1446456060641599885,,,1/24/2018,,
ForumEvent,,,1314315120197156050,173734994600281940,,,1/25/2018,,
ForumEvent,,,1314315120197156050,1511361982792419624,,,1/27/2018,,
ForumEvent,,,1314315120197156050,1261305475682410281,,,1/28/2018,,
ForumEvent,,,1314315120197156050,934831931231111431,,,1/29/2018,,
ForumEvent,,,1314315120197156050,1006322630752207163,,,1/30/2018,,
ForumEvent,,,1314315120197156050,1460213432100143917,,,1/31/2018,,
ForumEvent,,,1040437236245414809,448553361025305440,,,1/18/2018,,
ForumEvent,,,451888058015735870,750153195542233950,,,1/8/2018,,
ForumEvent,,,451888058015735870,850131319904461803,,,1/26/2018,,
ForumEvent,,,254347350613723281,136712127757475591,,,1/16/2018,,
ForumEvent,,,851350143155248158,607323427219434014,,,1/15/2018,,
ForumEvent,,,555784630220125214,1207834012121344971,,,1/14/2018,,
ForumEvent,,,555784630220125214,46043505075382494,,,1/27/2018,,
ForumEvent,,,353365307219544531,1283208382644656313,,,1/4/2018,,
ForumEvent,,,353365307219544531,1192153745534991312,,,1/8/2018,,
ForumEvent,,,353365307219544531,1652046449063459866,,,1/11/2018,,
ForumEvent,,,353365307219544531,171783551644309638,,,1/15/2018,,
ForumEvent,,,353365307219544531,420305073844053661,,,1/19/2018,,
ForumEvent,,,353365307219544531,720341606096833745,,,1/23/2018,,
ForumEvent,,,353365307219544531,1153332756259013462,,,1/26/2018,,
ForumEvent,,,353365307219544531,1346638141901375546,,,1/29/2018,,
ForumEvent,,,817570614729612563,204825832554561119,,,1/23/2018,,
ForumEvent,,,1222966301068614432,1153080411280079936,,,1/9/2018,,
ForumEvent,,,1222966301068614432,1087337332058225761,,,1/18/2018,,
ForumEvent,,,1222966301068614432,811494466082660403,,,1/25/2018,,
ForumEvent,,,1361197157264541395,1256028753416143786,,,1/15/2018,,
ForumEvent,,,1583773067440233990,1107561506053216927,,,1/3/2018,,
ForumEvent,,,1202482536733844323,886335305906498721,,,1/29/2018,,
ForumEvent,,,1615340315424362057,525420223441043804,,,1/31/2018,,
ForumEvent,,,1615340315424362057,918526350300264043,,,2/1/2018,,
ForumEvent,,,1615340315424362057,726302330555259452,,,2/1/2018,,
ForumEvent,,,1615340315424362057,280644386402516568,,,2/2/2018,,
ForumEvent,,,1615340315424362057,894021954006952581,,,2/2/2018,,
ForumEvent,,,1615340315424362057,1557373325452325336,,,2/2/2018,,
ForumEvent,,,1615340315424362057,1114317435332435010,,,2/3/2018,,
ForumEvent,,,1615340315424362057,1058411079529813001,,,2/3/2018,,
ForumEvent,,,1615340315424362057,964123439111645267,,,2/4/2018,,
ForumEvent,,,1615340315424362057,853648105625377159,,,2/4/2018,,
ForumEvent,,,1615340315424362057,108080651586601118,,,2/4/2018,,
ForumEvent,,,1615340315424362057,994896812187822513,,,2/5/2018,,
ForumEvent,,,1615340315424362057,561568815092255772,,,2/5/2018,,
ForumEvent,,,1615340315424362057,362348532245583461,,,2/6/2018,,
